,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,location,Price
95,Chevrolet ,Spark ,1.0 LS,2012,16000.0 KM,PETROL,MANUAL,1st, Delhi,"1,60,000"
96,Maruti Suzuki ,Ertiga ,2012-2015 ZXI,2015,48000.0 KM,PETROL,MANUAL,1st, Coimbatore,"7,85,000"
97,Hyundai ,Grand i10 ,2013-2016 CRDi Asta Option,2015,67867 KM,DIESEL,MANUAL,First, Hyderabad,"4,50,000"
98,Maruti Suzuki ,Baleno ,Alpha,2015,60000.0 KM,PETROL,MANUAL,1st, Delhi,"5,25,000"
99,Datsun ,Redi Go ,1.0 Limited Edition 2018,2020,2237.0 KM,PETROL,MANUAL,1st, Vijayawada,"5,50,000"
100,Datsun ,GO ,T,2016,40510.0 KM,PETROL,MANUAL,1st, Ahmedabad,"2,30,000"
101,Tata ,Indigo CS ,CS LS TDI,2016,999999 KM,DIESEL,AUTOMATIC,First, Bhopal,"2,20,000"
102,Mah,XUV500 ,W8 2WD,2013,68000.0 KM,DIESEL,MANUAL,1st, Noida,"4,75,000"
103,Toyota ,Innova ,2.5 GX (Diesel) 8 Seater BS IV,2014,86000.0 KM,DIESEL,MANUAL,2nd, Ahmedabad,"6,41,000"
104,Mah,Marazzo ,M6 8Str,2019,37176.0 KM,DIESEL,MANUAL,1st, Mumbai,"10,50,000"
105,Tata ,Indica Vista ,2008-2013 Aura 1.2 Safire (ABS),2010,48965.0 KM,PETROL,MANUAL,1st, Kolkata,"99,000"
106,Maruti Suzuki ,Wagon R ,LXI BS IV,2014,70462 KM,PETROL,MANUAL,Second, Delhi,"2,55,000"
107,Hyundai ,i20 ,Magna 1.4 CRDI 6 Speed,2013,74159.0 KM,DIESEL,MANUAL,1st, Hyderabad,"3,60,000"
108,Maruti Suzuki ,Alto 800 ,2012-2016 LXI,2012,"84,000 KM",PETROL,AUTOMATIC,2nd, Dhar,"2,50,000"
109,Maruti Suzuki ,Alto 800 ,LXI,2016,30000.0 KM,PETROL,MANUAL,1st, Ahmedabad,"2,45,000"
110,Honda ,Accord ,2.3 VTI MT,2007,65000.0 KM,PETROL,MANUAL,2nd, Delhi,"1,50,000"
111,Maruti Suzuki ,Swift ,VDI Optional,2017,52000.0 KM,DIESEL,MANUAL,2nd, Salem,"6,40,000"
112,Mah,Quanto ,C8,2012,86000.0 KM,DIESEL,MANUAL,1st, Mumbai,"3,40,000"
113,Mah,Scorpio ,2002-2013 2.6 LX,2006,163641.0 KM,DIESEL,MANUAL,2nd, Hyderabad,"2,05,000"
114,Maruti Suzuki ,Alto 800 ,LXI,2018,32000.0 KM,PETROL,MANUAL,1st, Kishangarh Ajmer District,"3,05,000"
115,Hyundai ,Grand i10 ,1.2 CRDi Magna,2016,62500.0 KM,DIESEL,MANUAL,2nd, Visakhapatnam,"4,80,000"
116,Honda ,City ,i-DTEC SV,2016,61000.0 KM,DIESEL,MANUAL,1st, Ahmedabad,"6,70,000"
117,Hyundai ,Creta ,1.6 SX Plus,2017,42300.0 KM,PETROL,MANUAL,1st, Mumbai,"9,85,000"
118,Ford ,Figo ,Duratorq ZXI 1.4,2014,64040.0 KM,DIESEL,MANUAL,2nd, Mumbai,"2,30,000"
119,Hyundai ,i20 ,Petrol Asta Dual Tone,2018,9900.0 KM,PETROL,MANUAL,1st, Chennai,"7,00,000"
120,Hyundai ,Verna ,2006-2009 Xi (Petrol),2007,71000.0 KM,PETROL,MANUAL,2nd, Bengaluru,"2,55,000"
121,Renault ,Duster ,2012-2015 85PS Diesel RxE,2015,71000.0 KM,DIESEL,MANUAL,1st, Chandigarh,"4,95,000"
122,Skoda ,Rapid ,Others,2012,96000.0 KM,DIESEL,MANUAL,2nd, Pune,"3,25,000"
123,Ford ,Figo ,2012-2015 Petrol EXI,2014,44000.0 KM,PETROL,MANUAL,1st, Kolkata,"2,35,000"
124,Toyota ,Etios ,1.5 G,2011,118000.0 KM,PETROL,MANUAL,1st, Coimbatore,"3,90,000"
125,Hyundai ,Accent ,CRDi,2005,82000.0 KM,DIESEL,MANUAL,1st, Hyderabad,"1,75,000"
126,Mah,XUV500 ,2011-2015 Xclusive Edition,2015,73000.0 KM,DIESEL,MANUAL,1st, Nashik,"9,50,000"
127,Hyundai ,Grand i10 ,1.2 Kappa Sportz Option,2014,73000.0 KM,PETROL,MANUAL,1st, Chandigarh,"3,95,000"
128,Mercedes-Benz ,GLA Class ,200 Sport,2014,46000.0 KM,PETROL,AUTOMATIC,1st, Delhi,"18,00,000"
129,Hyundai ,EON ,D Lite Plus,2014,40845.0 KM,PETROL,MANUAL,1st, Kollam,"2,45,000"
130,Volkswagen ,Polo ,1.2 MPI Comfortline,2012,37000.0 KM,PETROL,MANUAL,1st, Pune,"2,95,000"
131,Maruti Suzuki ,Swift Dzire ,VDI,2011,56000.0 KM,DIESEL,MANUAL,1st, Kolkata,"2,25,000"
132,Maruti Suzuki ,Celerio ,VXI Optional MT,2016,62000.0 KM,PETROL,MANUAL,1st, Chandigarh,"3,90,000"
133,Honda ,Jazz ,S Manual,2017,16000.0 KM,PETROL,MANUAL,1st, Delhi,"5,50,000"
134,Hyundai ,Others ,,2021,1.0 KM,PETROL,MANUAL,--, Mumbai,"6,73,059"
135,Audi ,A6 ,35 TDI,2016,38000.0 KM,DIESEL,AUTOMATIC,2nd, Bengaluru,"31,00,000"
136,Toyota ,Fortuner ,2.8 2WD MT,2017,22500.0 KM,DIESEL,MANUAL,1st, Mumbai,"28,35,000"
137,Ford ,Ecosport ,1.5 Petrol Titanium Plus AT,2018,8000.0 KM,PETROL,AUTOMATIC,1st, Delhi,"10,40,000"
138,Maruti Suzuki ,Vitara Brezza ,ZDi,2018,24000.0 KM,DIESEL,MANUAL,1st, Kothamangalam,"9,50,000"
139,Mah,Xylo ,H4 BS IV,2011,"130,000 KM",DIESEL,MANUAL,2nd, Mysuru,"2,95,000"
140,-,-,-,-,-,-,-,-,-,-
141,Nissan ,Sunny ,,2012,79099.0 KM,DIESEL,MANUAL,1st, Hyderabad,"4,90,000"
142,Toyota ,Innova ,2.5 G (Diesel) 7-Seater,2013,73000.0 KM,DIESEL,MANUAL,1st, Delhi,"8,80,000"
143,Hyundai ,i20 ,2009-2011 1.4 Magna ABS,2009,140000 KM,DIESEL,MANUAL,Second, Rajkot,"2,60,000"
144,Mercedes-Benz ,New C-Class ,C 220 CDI Avantgarde,2014,55000.0 KM,DIESEL,AUTOMATIC,1st, Delhi,"11,50,000"
145,Hyundai ,Elite i20 ,Sportz 1.4,2016,49220.0 KM,DIESEL,MANUAL,1st, Hyderabad,"6,95,000"
146,Ford ,Ikon ,1.3L Rocam Flair,2009,80000.0 KM,DIESEL,MANUAL,2nd, Thiruvananthapuram,"1,10,000"
147,Maruti Suzuki ,Wagon R ,2006-2010 VXI Minor,2007,61482 KM,PETROL,MANUAL,Second, Indore,"1,89,968"
148,Porsche ,Cayenne ,Others,2015,48000.0 KM,DIESEL,AUTOMATIC,1st, Delhi,"43,00,000"
149,Hyundai ,Verna ,CRDi 1.6 AT SX Plus,2018,44464.0 KM,DIESEL,AUTOMATIC,1st, Mumbai,"10,95,000"
150,Chevrolet ,Enjoy ,1.3 TCDi LT 8,2016,1 KM,DIESEL,MANUAL,1st, Jowai,"1,70,000"
151,Maruti Suzuki ,Ciaz ,Zeta,2018,35000 KM,PETROL,MANUAL,First, Delhi,"7,90,000"
152,Maruti Suzuki ,Ciaz ,Smart Hybrid Zeta,2018,61000.0 KM,DIESEL,MANUAL,1st, Gurgaon,"7,70,000"
153,Maruti Suzuki ,Wagon R Duo ,Others,2008,108000.0 KM,LPG,MANUAL,1st, Pune,"2,10,000"
154,Ford ,Figo Aspire ,1.5 TDCi Titanium Plus,2015,67900.0 KM,DIESEL,MANUAL,1st, Bengaluru,"5,55,000"
155,Tata ,Hexa ,XM Plus,2019,34577 KM,DIESEL,MANUAL,First, Pallapalayam Coimbatore District,"14,50,000"
156,Maruti Suzuki ,Ciaz ,2014-2017 VDi Plus,2015,36000.0 KM,DIESEL,MANUAL,1st, Habra,"4,80,000"
157,Honda ,Civic ,1.8 V AT,2009,62000.0 KM,PETROL,AUTOMATIC,3rd, Mumbai,"1,79,000"
158,Hyundai ,Venue ,SX Plus Turbo DCT,2019,23926 KM,PETROL,AUTOMATIC,Second, Chennai,"10,00,000"
159,Renault ,KWID ,1.0 RXT Optional,2017,33803.0 KM,PETROL,MANUAL,1st, Gurgaon,"2,68,000"
160,Toyota ,Innova Crysta ,2.4 VX MT 8S,2017,60000.0 KM,DIESEL,MANUAL,1st, Kolkata,"14,99,000"
161,Maruti Suzuki ,Ritz ,VDi,2011,65369.0 KM,DIESEL,MANUAL,2nd, Jaipur,"2,65,000"
162,Maruti Suzuki ,Baleno ,Delta,2018,73548.0 KM,DIESEL,MANUAL,1st, Jaipur,"6,80,000"
163,Maruti Suzuki ,Alto ,LXi BS-IV,2007,50000 KM,PETROL,MANUAL,First, Patna,"1,09,999"
164,Hyundai ,Grand i10 ,Magna 1.1 CRDi,2016,41000.0 KM,PETROL,MANUAL,1st, Delhi,"4,00,000"
165,Audi ,A4 ,2.0 TDI,2012,88000.0 KM,DIESEL,AUTOMATIC,1st, Visakhapatnam,"14,00,000"
166,Mah,Xylo ,2012-2014 E8 ABS Airbag BS III,2013,120000 KM,DIESEL,MANUAL,Second, Nagpur,"4,75,000"
167,Hyundai ,Elite i20 ,Asta Option Diesel,2018,70000.0 KM,DIESEL,MANUAL,1st, Rajkot,"7,25,000"
168,Maruti Suzuki ,Swift ,VXI,2021,4000.0 KM,PETROL,MANUAL,1st, Ludhiana,"6,75,000"
169,Volkswagen ,CrossPolo ,1.5 TDI,2015,56000.0 KM,DIESEL,MANUAL,2nd, Kolkata,"3,55,000"
170,Mah,Scorpio ,S11,2020,42530.0 KM,DIESEL,MANUAL,1st, Delhi,"18,95,000"
171,Ford ,Freestyle ,Titanium Plus Petrol,2018,21942 KM,PETROL,MANUAL,Second, Jaipur,"4,50,000"
172,Maruti Suzuki ,Alto ,LX,2007,"65,000 KM",PETROL,MANUAL,3rd, Gurgaon,"50,000"
173,Maruti Suzuki ,Eeco ,5 Seater AC,2017,55848.0 KM,PETROL,MANUAL,--, Hyderabad,"3,75,000"
174,BMW ,3 Series ,2005-2011 320d Highline,2008,99000.0 KM,DIESEL,AUTOMATIC,2nd, Hyderabad,"6,99,000"
175,Maruti Suzuki ,Alto K10 ,VXI,2012,46252.0 KM,PETROL,MANUAL,1st, Bengaluru,"2,90,000"
176,Hyundai ,i10 ,1.2 Kappa Magna,2008,79000.0 KM,PETROL,MANUAL,2nd, Visakhapatnam,"2,10,000"
177,Hyundai ,Fluidic Verna ,1.6 VTVT S,2017,37000.0 KM,PETROL,MANUAL,1st, Kolhapur,"8,00,000"
178,-,-,-,-,-,-,-,-,-,-
179,Maruti Suzuki ,Ertiga ,2012-2015 VDI,2014,37400.0 KM,DIESEL,MANUAL,1st, Coimbatore,"7,10,000"
180,Mah,Bolero ,Camper,2017,"111,500 KM",DIESEL,MANUAL,1st, Nellore,"5,45,000"
181,Ford ,Ecosport ,1.5 Ti VCT AT Titanium,2014,56000.0 KM,PETROL,AUTOMATIC,1st, Pune,"5,99,000"
182,Nissan ,Micra ,2012-2017 Diesel XL,2012,"68,000 KM",DIESEL,AUTOMATIC,1st, Allahabad,"1,80,000"
183,Hyundai ,Getz ,GLX,2007,90000 KM,PETROL,MANUAL,Third, Mumbai,"75,000"
184,Hyundai ,Verna ,2006-2009 Xi (Petrol),2008,68000.0 KM,PETROL,MANUAL,1st, Pune,"1,95,000"
185,Maruti Suzuki ,Baleno ,Zeta Automatic,2017,13400.0 KM,PETROL,AUTOMATIC,1st, Thane,"6,49,000"
186,Maruti Suzuki ,Ritz ,VDi,2009,115000.0 KM,DIESEL,MANUAL,2nd, Kochi,"2,35,000"
187,Mercedes-Benz ,New C-Class ,C 220 CDI Avantgarde,2018,6500.0 KM,DIESEL,AUTOMATIC,1st, Mumbai,"37,90,000"
188,Maruti Suzuki ,Swift Dzire ,VDI,2009,61000.0 KM,DIESEL,MANUAL,2nd, Mumbai,"2,47,000"
