,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,location,Price
86,10,75,274,2020.0,7000.0,6,1,1.0,36,1075000.0
87,6,32,209,2014.0,14000.0,6,2,1.0,12,300000.0
88,24,78,4,2020.0,9.0,6,2,1.0,54,300000.0
89,12,101,272,2016.0,74000.0,3,2,1.0,103,680000.0
90,14,88,252,2012.0,73000.0,3,1,1.0,93,1950000.0
91,6,109,214,2012.0,88000.0,6,2,1.0,18,450000.0
92,13,8,235,2010.0,68253.0,6,2,1.0,17,200000.0
93,6,123,16,2010.0,72000.0,6,2,1.0,67,310000.0
94,4,43,120,2010.0,38000.0,6,2,3.0,66,215000.0
95,2,95,2,2012.0,16000.0,6,2,1.0,21,160000.0
96,13,38,142,2015.0,48000.0,6,2,1.0,18,785000.0
97,6,53,147,2015.0,67867.0,3,2,1.0,36,450000.0
98,13,14,185,2015.0,60000.0,6,2,1.0,21,525000.0
99,3,85,3,2020.0,2237.0,6,2,1.0,102,550000.0
100,3,51,270,2016.0,40510.0,6,2,1.0,1,230000.0
101,21,57,196,2016.0,999999.0,3,1,1.0,15,220000.0
102,12,118,299,2013.0,68000.0,3,2,1.0,74,475000.0
103,22,59,79,2014.0,86000.0,3,2,2.0,1,641000.0
104,12,67,238,2019.0,37176.0,3,2,1.0,64,1050000.0
105,21,56,109,2010.0,48965.0,6,2,1.0,50,99000.0
106,13,112,233,2014.0,70462.0,6,2,2.0,21,255000.0
107,6,124,243,2013.0,74159.0,3,2,1.0,36,360000.0
108,13,9,144,2012.0,84.0,6,1,2.0,22,250000.0
109,13,9,232,2016.0,30000.0,6,2,1.0,1,245000.0
110,5,7,73,2007.0,65000.0,6,2,2.0,21,150000.0
111,13,98,280,2017.0,52000.0,3,2,2.0,88,640000.0
112,12,81,192,2012.0,86000.0,3,2,1.0,64,340000.0
113,12,93,95,2006.0,163641.0,3,2,2.0,36,205000.0
114,13,9,232,2018.0,32000.0,6,2,1.0,46,305000.0
115,6,53,11,2016.0,62500.0,3,2,2.0,103,480000.0
116,5,23,313,2016.0,61000.0,3,2,1.0,1,670000.0
117,6,27,59,2017.0,42300.0,6,2,1.0,64,985000.0
118,4,43,205,2014.0,64040.0,3,2,2.0,64,230000.0
119,6,124,246,2018.0,9900.0,6,2,1.0,17,700000.0
120,6,109,102,2007.0,71000.0,6,2,2.0,12,255000.0
121,19,30,137,2015.0,71000.0,3,2,1.0,16,495000.0
122,20,84,245,2012.0,96000.0,3,2,2.0,82,325000.0
123,4,43,139,2014.0,44000.0,6,2,1.0,50,235000.0
124,22,40,42,2011.0,118000.0,6,2,1.0,18,390000.0
125,6,6,193,2005.0,82000.0,3,2,1.0,36,175000.0
126,12,118,134,2015.0,73000.0,3,2,1.0,69,950000.0
127,6,53,19,2014.0,73000.0,6,2,1.0,16,395000.0
128,14,49,88,2014.0,46000.0,6,1,1.0,21,1800000.0
129,6,32,199,2014.0,40845.0,6,2,1.0,51,245000.0
130,24,78,20,2012.0,37000.0,6,2,1.0,82,295000.0
131,13,99,277,2011.0,56000.0,3,2,1.0,50,225000.0
132,13,21,291,2016.0,62000.0,6,2,1.0,16,390000.0
133,5,61,253,2017.0,16000.0,6,2,1.0,21,550000.0
134,6,75,274,2021.0,1.0,6,2,1.0,64,673059.0
135,0,5,168,2016.0,38000.0,3,1,2.0,12,3100000.0
136,22,46,85,2017.0,22500.0,3,2,1.0,64,2835000.0
137,4,33,45,2018.0,8000.0,6,1,1.0,21,1040000.0
138,13,110,307,2018.0,24000.0,3,2,1.0,53,950000.0
139,12,120,223,2011.0,130.0,3,2,2.0,65,295000.0
140,23,105,274,2016.0,60000.0,6,2,0.0,105,619041.124137931
141,16,97,274,2012.0,79099.0,3,2,1.0,36,490000.0
142,22,59,78,2013.0,73000.0,3,2,1.0,21,880000.0
143,6,124,110,2009.0,140000.0,3,2,2.0,83,260000.0
144,14,71,190,2014.0,55000.0,3,1,1.0,21,1150000.0
145,6,36,269,2016.0,49220.0,3,2,1.0,36,695000.0
146,4,55,32,2009.0,80000.0,3,2,2.0,94,110000.0
147,13,112,104,2007.0,61482.0,6,2,2.0,37,189968.0
148,18,20,245,2015.0,48000.0,3,1,1.0,21,4300000.0
